experiment,repeat,k,fold,max_depth,f1
CRFD,8,10,10,3,0.0
CRFD,9,10,1,3,0.0
CRFD,9,10,2,3,0.0
CRFD,9,10,3,3,0.0
CRFD,9,10,4,3,0.027777777777777776
CRFD,9,10,5,3,0.0
CRFD,9,10,6,3,0.0
CRFD,9,10,7,3,0.0
CRFD,9,10,8,3,0.0
CRFD,9,10,9,3,0.0
CRFD,9,10,10,3,0.0
CRFD,10,10,1,3,0.0
CRFD,10,10,2,3,0.0
CRFD,10,10,3,3,0.0
CRFD,10,10,4,3,0.0
CRFD,10,10,5,3,0.0
CRFD,10,10,6,3,0.0
CRFD,10,10,7,3,0.0
CRFD,10,10,8,3,0.0
CRFD,10,10,9,3,0.0
CRFD,10,10,10,3,0.027777777777777776
CRFD,1,3,1,5,0.04149377593360996
CRFD,1,3,2,5,0.06557377049180328
CRFD,1,3,3,5,0.06584362139917696
CRFD,2,3,1,5,0.07317073170731707
CRFD,2,3,2,5,0.10441767068273092
CRFD,2,3,3,5,0.04979253112033195
CRFD,3,3,1,5,0.02510460251046025
CRFD,3,3,2,5,0.07346938775510205
CRFD,3,3,3,5,0.06557377049180328
CRFD,4,3,1,5,0.0967741935483871
CRFD,4,3,2,5,0.096
CRFD,4,3,3,5,0.041666666666666664
CRFD,5,3,1,5,0.04149377593360996
CRFD,5,3,2,5,0.049586776859504134
CRFD,5,3,3,5,0.08943089430894309
CRFD,6,3,1,5,0.06557377049180328
CRFD,6,3,2,5,0.08097165991902834
CRFD,6,3,3,5,0.06584362139917696
CRFD,7,3,1,5,0.049586776859504134
CRFD,7,3,2,5,0.05761316872427984
CRFD,7,3,3,5,0.07346938775510205
CRFD,8,3,1,5,0.04149377593360996
CRFD,8,3,2,5,0.10441767068273092
CRFD,8,3,3,5,0.05785123966942149
CRFD,9,3,1,5,0.03333333333333333
CRFD,9,3,2,5,0.08130081300813008
CRFD,9,3,3,5,0.016877637130801686
CRFD,10,3,1,5,0.06557377049180328
CRFD,10,3,2,5,0.049586776859504134
CRFD,10,3,3,5,0.112
CRFD,1,5,1,5,0.05517241379310345
CRFD,1,5,2,5,0.041666666666666664
CRFD,1,5,3,5,0.0945945945945946
CRFD,1,5,4,5,0.0547945205479452
CRFD,1,5,5,5,0.13157894736842105
CRFD,2,5,1,5,0.041379310344827586
CRFD,2,5,2,5,0.0945945945945946
CRFD,2,5,3,5,0.08163265306122448
CRFD,2,5,4,5,0.09395973154362416
CRFD,2,5,5,5,0.09395973154362416
CRFD,3,5,1,5,0.0
CRFD,3,5,2,5,0.0684931506849315
CRFD,3,5,3,5,0.10738255033557047
CRFD,3,5,4,5,0.027777777777777776
CRFD,3,5,5,5,0.08108108108108109
CRFD,4,5,1,5,0.13245033112582782
CRFD,4,5,2,5,0.08163265306122448
CRFD,4,5,3,5,0.0684931506849315
CRFD,4,5,4,5,0.08108108108108109
CRFD,4,5,5,5,0.06802721088435375
CRFD,5,5,1,5,0.027972027972027972
CRFD,5,5,2,5,0.0684931506849315
CRFD,5,5,3,5,0.027972027972027972
CRFD,5,5,4,5,0.08108108108108109
CRFD,5,5,5,5,0.09395973154362416
CRFD,6,5,1,5,0.041666666666666664
CRFD,6,5,2,5,0.12
CRFD,6,5,3,5,0.027972027972027972
CRFD,6,5,4,5,0.09395973154362416
CRFD,6,5,5,5,0.041379310344827586
CRFD,7,5,1,5,0.05517241379310345
CRFD,7,5,2,5,0.0945945945945946
CRFD,7,5,3,5,0.05517241379310345
CRFD,7,5,4,5,0.09395973154362416
CRFD,7,5,5,5,0.0547945205479452
CRFD,8,5,1,5,0.041666666666666664
CRFD,8,5,2,5,0.14473684210526316
CRFD,8,5,3,5,0.041666666666666664
CRFD,8,5,4,5,0.0547945205479452
CRFD,8,5,5,5,0.0547945205479452
CRFD,9,5,1,5,0.0684931506849315
CRFD,9,5,2,5,0.10738255033557047
CRFD,9,5,3,5,0.05517241379310345
CRFD,9,5,4,5,0.09395973154362416
CRFD,9,5,5,5,0.027777777777777776
CRFD,10,5,1,5,0.0684931506849315
CRFD,10,5,2,5,0.0684931506849315
CRFD,10,5,3,5,0.0684931506849315
CRFD,10,5,4,5,0.08108108108108109
CRFD,10,5,5,5,0.0410958904109589
CRFD,1,10,1,5,0.05555555555555555
CRFD,1,10,2,5,0.028169014084507043
CRFD,1,10,3,5,0.05555555555555555
CRFD,1,10,4,5,0.0
CRFD,1,10,5,5,0.027777777777777776
CRFD,1,10,6,5,0.15584415584415584
CRFD,1,10,7,5,0.0
CRFD,1,10,8,5,0.15584415584415584
CRFD,1,10,9,5,0.08108108108108109
CRFD,1,10,10,5,0.08108108108108109
CRFD,2,10,1,5,0.0
CRFD,2,10,2,5,0.0821917808219178
CRFD,2,10,3,5,0.05555555555555555
CRFD,2,10,4,5,0.10666666666666667
CRFD,2,10,5,5,0.10666666666666667
CRFD,2,10,6,5,0.13157894736842105
CRFD,2,10,7,5,0.08108108108108109
CRFD,2,10,8,5,0.0547945205479452
CRFD,2,10,9,5,0.0547945205479452
CRFD,2,10,10,5,0.0547945205479452
CRFD,3,10,1,5,0.10810810810810811
CRFD,3,10,2,5,0.05555555555555555
CRFD,3,10,3,5,0.028169014084507043
CRFD,3,10,4,5,0.08108108108108109
CRFD,3,10,5,5,0.027777777777777776
CRFD,3,10,6,5,0.15584415584415584
CRFD,3,10,7,5,0.027777777777777776
CRFD,3,10,8,5,0.0547945205479452
CRFD,3,10,9,5,0.08
CRFD,3,10,10,5,0.08108108108108109
CRFD,4,10,1,5,0.0821917808219178
CRFD,4,10,2,5,0.13333333333333333
