experiment,repeat,k,fold,max_depth,f1
CRD,6,10,5,None,0.7804878048780488
CRD,6,10,6,None,0.7833333333333333
CRD,6,10,7,None,0.7563025210084033
CRD,6,10,8,None,0.7457627118644068
CRD,6,10,9,None,0.7899159663865546
CRD,6,10,10,None,0.6964285714285714
CRD,7,10,1,None,0.8166666666666667
CRD,7,10,2,None,0.8135593220338984
CRD,7,10,3,None,0.7288135593220338
CRD,7,10,4,None,0.7758620689655172
CRD,7,10,5,None,0.7241379310344828
CRD,7,10,6,None,0.7666666666666667
CRD,7,10,7,None,0.8
CRD,7,10,8,None,0.717948717948718
CRD,7,10,9,None,0.8225806451612904
CRD,7,10,10,None,0.6782608695652174
CRD,8,10,1,None,0.773109243697479
CRD,8,10,2,None,0.7413793103448276
CRD,8,10,3,None,0.7868852459016393
CRD,8,10,4,None,0.7666666666666667
CRD,8,10,5,None,0.7603305785123967
CRD,8,10,6,None,0.7457627118644068
CRD,8,10,7,None,0.660377358490566
CRD,8,10,8,None,0.6842105263157895
CRD,8,10,9,None,0.8099173553719008
CRD,8,10,10,None,0.7692307692307693
CRD,9,10,1,None,0.7321428571428571
CRD,9,10,2,None,0.8235294117647058
CRD,9,10,3,None,0.7368421052631579
CRD,9,10,4,None,0.7377049180327869
CRD,9,10,5,None,0.7796610169491526
CRD,9,10,6,None,0.7692307692307693
CRD,9,10,7,None,0.8130081300813008
CRD,9,10,8,None,0.773109243697479
CRD,9,10,9,None,0.6542056074766355
CRD,9,10,10,None,0.7226890756302521
CRD,10,10,1,None,0.7931034482758621
CRD,10,10,2,None,0.7933884297520661
CRD,10,10,3,None,0.7586206896551724
CRD,10,10,4,None,0.7768595041322314
CRD,10,10,5,None,0.7868852459016393
CRD,10,10,6,None,0.7394957983193278
CRD,10,10,7,None,0.7017543859649122
CRD,10,10,8,None,0.8225806451612904
CRD,10,10,9,None,0.7521367521367521
CRD,10,10,10,None,0.7079646017699115
