"k","max_depth","n","mean","sd","se","ci_lower","ci_upper"
"3","3",30,0.00225392738801878,0.0038016238033032,0.000694078370739248,0.000834377730219701,0.00367347704581787
"3","5",30,0.0644961857222559,0.0240488190259482,0.00439069355395708,0.0555162091161819,0.0734761623283299
"3","None",30,0.740299231796343,0.0220355685693368,0.0040231259909592,0.732071015265599,0.748527448327087
"5","3",50,0.00140648084310056,0.00426229918698599,0.000602780131712741,0.000195148816977136,0.00261781286922399
"5","5",50,0.0699200569008989,0.0305949381080668,0.00432677764123934,0.0612250716964998,0.0786150421052979
"5","None",50,0.752170483398672,0.0338074299362829,0.00478109259248695,0.742562518118388,0.761778448678956
"10","3",100,0.000555555555555556,0.00390848039267471,0.000390848039267471,-0.000219971749453275,0.00133108286056439
"10","5",100,0.0725783038362991,0.0424829929017696,0.00424829929017696,0.0641487563693174,0.0810078513032808
"10","None",100,0.756786218061806,0.0413960120290002,0.00413960120290002,0.748572351182204,0.765000084941408
